Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.905809,17.905809,17.905809,17.905809,14.374211,0
2000-01-03,55.251617,56.615253,55.032459,55.787331,44.784283,6634006
2000-01-04,55.470772,55.470772,51.282459,53.108761,42.634010,8625660
2000-01-05,49.675320,50.698044,47.410709,48.043823,38.568050,18386043
2000-01-06,49.188305,49.577915,44.318176,44.683434,35.870430,16580557
2000-01-07,46.047073,48.019474,45.681812,48.019474,38.548496,18534524
2000-01-10,48.701290,52.012981,48.701290,51.477264,41.324306,9441862
2000-01-11,52.962654,53.084408,50.722397,52.110382,41.832542,11158303
2000-01-12,49.821423,52.159084,49.310059,51.379864,41.246113,11767689
2000-01-13,51.891228,53.230511,51.282459,51.939926,41.695713,10551198
2000-01-14,54.569798,58.295448,54.569798,58.076290,46.621792,19267283
2000-01-17,60.925316,61.314926,59.269474,60.876614,48.869801,11282735
2000-01-18,61.144470,62.581161,58.758110,60.706161,48.732971,10768289
2000-01-19,59.683434,60.706161,57.175316,59.707783,47.931499,11668599
2000-01-20,68.157455,69.642845,65.016228,67.938301,54.538700,31697561
2000-01-21,67.475639,70.105507,66.258110,68.620117,55.086025,32858464
2000-01-24,66.258110,68.376617,66.258110,67.086029,53.854519,8652037
2000-01-25,64.310059,66.087654,63.384731,63.871746,51.274204,11158340
2000-01-26,65.722397,66.477264,60.560059,61.120121,49.065277,14868026
2000-01-27,60.146095,61.144470,56.956161,60.389603,48.478844,19308573
2000-01-28,61.095772,62.410706,59.488628,60.974018,48.947998,8146603
2000-01-31,58.198044,59.805187,57.613628,59.415577,47.696922,10517453
2000-02-01,61.704536,63.238628,60.876614,62.362003,50.062225,12579436
2000-02-02,64.577911,66.233757,64.042198,66.038956,53.013966,9960405
2000-02-03,66.331161,68.181808,65.868500,67.207787,53.952267,8086980
2000-02-04,69.618500,70.129860,67.353889,68.084404,54.655991,10295472
2000-02-07,67.743500,68.084404,65.454536,65.795448,52.818481,4856425
2000-02-08,67.426941,71.980507,67.426941,71.834404,57.666370,12575857
2000-02-09,72.808434,73.295448,70.616875,70.909081,56.923542,6264117
2000-02-10,68.547066,71.590897,68.498367,70.860382,56.884464,6603083
2000-02-11,72.491875,72.491875,67.792198,67.792198,54.421417,8434601
2000-02-14,66.964279,67.499992,66.355515,66.355515,53.268082,4853388
2000-02-15,66.939926,66.964279,63.896095,63.944798,51.332840,6287352
2000-02-16,67.183434,67.694794,63.116875,63.749992,51.176453,11755141
2000-02-17,64.772720,65.746742,63.336033,64.261353,51.586964,8260680
2000-02-18,65.941551,65.990250,62.581161,62.581161,50.238155,9241463
2000-02-21,62.362003,63.433434,60.048695,60.633110,48.674328,5895305
2000-02-22,60.803562,63.530834,60.219147,61.607136,49.456238,7015507
